Drug,CYP3A4,CYP2C9,CYP2D6,source
CC(C)(c1ncc(-c2cccnc2)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,1,,,ChEMBL
CCCCc1ccc(C)c(N/C=N/O)c1,0,,,ChEMBL
Cc1cc(C)nc(O[C@H](C(=O)O)[C@@]2(c3ccccc3)NCC(=O)N(C)c3ccccc32)n1,0,,,ChEMBL
CC(C)c1ccc(N/C=N/O)cc1,0,,,ChEMBL
Cc1ccccc1/N=C/NO,0,,,ChEMBL
Cc1cc(C)cc(O[C@H](C(=O)O)[C@@]2(c3ccccc3)NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc32)c1,0,,,ChEMBL
CCCCCCc1ccc(N/C=N/O)cc1,0,,,ChEMBL
Cc1ccc(N/C=N/O)cc1,0,,,ChEMBL
Nn1nnc2ccccc21,1,,,ChEMBL
CCCCc1cccc([C@]2([C@H](Oc3nc(C)cc(C)n3)C(=O)O)NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc32)c1,0,,,ChEMBL
CCC(C)c1ccc(N/C=N/O)cc1,0,,,ChEMBL
CC(C)(C)c1ccc(N/C=N/O)cc1,0,,,ChEMBL
CCc1ccc(N/C=N/O)cc1,0,,,ChEMBL
CCCCc1ccc(N/C=N/O)cc1,0,,,ChEMBL
ON/C=N/c1ccc(Cc2ccccc2)cc1,0,,,ChEMBL
CCCCc1ccccc1/N=C/NO,0,,,ChEMBL
Cc1cc(C)nc(O[C@H](C(=O)O)[C@@]2(c3ccccc3)NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc32)n1,0,,,ChEMBL
CCCOc1ccc(N/C=N/O)cc1,0,,,ChEMBL
Cc1cc(C)nc(O[C@H](C(=O)O)[C@@]2(c3cccc(-c4ccccc4)c3)NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc32)n1,0,,,ChEMBL
c1cncc(CCCOc2ccc(-n3ccnc3)cc2)c1,1,,,ChEMBL
CCOC(=O)N1CCN(CCOc2ccc(-n3ccnc3)cc2)CC1,0,,,ChEMBL
c1cn(-c2ccc(OCCN3CCOCC3)cc2)cn1,0,,,ChEMBL
CN(C)CCOc1ccc(-n2ccnc2)cc1,0,,,ChEMBL
c1cc(CCCOc2ccc(-n3ccnc3)cc2)ccn1,1,,,ChEMBL
CN(C)CCCOc1ccc(-n2ccnc2)cc1,0,,,ChEMBL
